cause_name,sequlae,sex,age,source,small_sample,prevalence,dependence_rate,dw_estimate,dw_lower,dw_upper
Alcohol use disorders,Alcohol use disorders,Male,15-44,2013 CHS,no,1087219,0.154,0.259,0.176,0.359
Alcohol use disorders,Alcohol use disorders,Male,45-64,2013 CHS,no,546776,0.154,0.259,0.176,0.359
Alcohol use disorders,Alcohol use disorders,Male,65+,2013 CHS,no,195161,0.154,0.259,0.176,0.359
Alcohol use disorders,Alcohol use disorders,Female,15-44,2013 CHS,no,933795,0.154,0.259,0.176,0.359
Alcohol use disorders,Alcohol use disorders,Female,45-64,2013 CHS,no,465757,0.154,0.259,0.176,0.359
Alcohol use disorders,Alcohol use disorders,Female,65+,2013 CHS,no,185118,0.154,0.259,0.176,0.359
Anxiety,Anxiety,Male,20-39 ,NYCHANES 2013,no,124164,1,0.03,0.017,0.048
Anxiety,Anxiety,Male,40-59 ,NYCHANES 2013,no,170300,1,0.03,0.017,0.048
Anxiety,Anxiety,Male,60+ ,NYCHANES 2013,no,85502,1,0.03,0.017,0.048
Anxiety,Anxiety,Female,20-39 ,NYCHANES 2013,no,257569,1,0.03,0.017,0.048
Anxiety,Anxiety,Female,40-59 ,NYCHANES 2013,no,256485,1,0.03,0.017,0.048
Anxiety,Anxiety,Female,60+ ,NYCHANES 2013,no,131051,1,0.03,0.017,0.048
Arthritis,Arthritis,Male,20-39 ,NYCHANES 2013,no,23116,1,0.114,0.077,0.159
Arthritis,Arthritis,Male,40-59 ,NYCHANES 2013,no,38102,1,0.114,0.077,0.159
Arthritis,Arthritis,Male,60+ ,NYCHANES 2013,no,103023,1,0.114,0.077,0.159
Arthritis,Arthritis,Female,20-39 ,NYCHANES 2013,no,25321,1,0.114,0.077,0.159
Arthritis,Arthritis,Female,40-59 ,NYCHANES 2013,no,101633,1,0.114,0.077,0.159
Arthritis,Arthritis,Female,60+ ,NYCHANES 2013,no,213953,1,0.114,0.077,0.159
Asthma,Asthma,Male,15-44,2013 CHS,no,166675,1,0.027,0.015,0.045
Asthma,Asthma,Male,45-64,2013 CHS,no,74107,1,0.027,0.015,0.045
