country_name,region,risk_name,risk_short,year,age_name,sex,measure,nm_mean,nm_upper,nm_lower,pc_mean,pc_upper,pc_lower,rt_mean,rt_upper,rt_lower
United States,High-income North America,Unimproved water and sanitation,Water & sanitation,1990,Under 5 years,Males,death,3.98978,9.04248,0.2237,0.000155606,0.000348899,8.73098e-06,0.0407694,0.0924002,0.00228587
United States,High-income North America,Unimproved water source,Unimproved water,1990,Under 5 years,Males,death,3.76504,8.5073,0.221113,0.00014685,0.000328969,8.56913e-06,0.0384729,0.0869315,0.00225943
United States,High-income North America,Unimproved sanitation,Sanitation,1990,Under 5 years,Males,death,0.235267,0.612325,0.00401183,9.16591e-06,2.38821e-05,1.57961e-07,0.00240407,0.00625701,4.09947e-05
United States,High-income North America,Ambient particulate matter pollution,Ambient PM pollution,1990,Under 5 years,Males,death,73.1191,113.462,42.1099,0.00285294,0.0045413,0.00164273,0.747165,1.15941,0.430299
United States,High-income North America,Lead exposure,Lead,1990,Under 5 years,Males,death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,High-income North America,Child and maternal undernutrition,Undernutrition,1990,Under 5 years,Males,death,36.6002,75.6633,14.7171,0.00142696,0.00284757,0.000583425,0.373998,0.773162,0.150386
United States,High-income North America,Childhood underweight,Childhood underweight,1990,Under 5 years,Males,death,12.3225,25.2695,6.49314,0.000480097,0.00100064,0.00025273,0.125917,0.258215,0.0663499
United States,High-income North America,Iron deficiency,Iron deficiency,1990,Under 5 years,Males,death,3.50614,5.48781,2.02958,0.000136729,0.000214071,7.86114e-05,0.0358273,0.056077,0.0207392
United States,High-income North America,Vitamin A deficiency,Vitamin A deficiency,1990,Under 5 years,Males,death,2.07888,5.21404,0.603493,8.1157e-05,0.000205287,2.35837e-05,0.0212429,0.0532794,0.00616677
United States,High-income North America,Zinc deficiency,Zinc deficiency,1990,Under 5 years,Males,death,18.8849,56.1008,-0.42066,0.000736475,0.0021214,-1.58963e-05,0.192975,0.573264,-0.00429849
United States,High-income North America,Tobacco smoking,Smoking,1990,Under 5 years,Males,death,102.205,153.239,59.3666,0.00398498,0.00615978,0.00229775,1.04438,1.56587,0.606635
United States,High-income North America,Second-hand smoke,Second-hand smoke,1990,Under 5 years,Males,death,102.205,153.239,59.3666,0.00398498,0.00615978,0.00229775,1.04438,1.56587,0.606635
