"","cause_name","sex","ageGroup","yld_nm_mean","yld_nm_upper","yld_nm_lower","yld_rt_mean","yld_rt_upper","yld_rt_lower","yll_nm_mean","yll_nm_upper","yll_nm_lower","yll_rt_mean","yll_rt_upper","yll_rt_lower"
"1","Abortion","Female","15-24",224.036,523.77,24.863,2.175915,5.089015,0.2406465,530.4945,911.676,233.278,5.149385,8.84986,2.264545
"2","Abortion","Female","25-44",255.51625,574.6455,48.4867,2.529835,5.6890775,0.48061,616.59825,1064.60475,267.01725,6.10838,10.5482675,2.642035
"3","Abortion","Female","45-64",30.5917,146.422,0,0.269088,1.28795,0,304.391,477.631,186.398,2.67746,4.2013,1.63958
"4","Abscess, impetigo, and other bacterial skin diseases","Female","00-14",1891.72,3655.54,841.2355,13.1084,25.2634,5.85909,142.85615,262.8175,76.03805,1.2459825,2.311226,0.669187
"5","Abscess, impetigo, and other bacterial skin diseases","Female","15-24",524.7985,1094.912,212.1455,5.10893,10.6584,2.06573,102.63505,207.372,37.379,0.9971525,2.01466,0.3631505
"6","Abscess, impetigo, and other bacterial skin diseases","Female","25-44",519.574,1117.94,201.656,5.1333875,11.042125,1.992425,327.378,657.27125,132.460525,3.2297225,6.485275,1.3052885
"7","Abscess, impetigo, and other bacterial skin diseases","Female","45-64",729.3505,1564.7925,282.43975,7.1615325,15.362875,2.77417,941.63825,1881.7075,377.81725,9.40917,18.78895,3.7718175
"8","Abscess, impetigo, and other bacterial skin diseases","Female","65+",1339.233,2923.19,525.8945,10.90399,23.8777,4.26486,2684.825,4892.245,1523.15,21.18835,39.54785,11.27563
"9","Abscess, impetigo, and other bacterial skin diseases","Male","00-14",1813.875,3568.605,801.382,11.98715,23.7826,5.27451,126.13535,246.96915,65.50235,1.067244,2.1258725,0.549856
"10","Abscess, impetigo, and other bacterial skin diseases","Male","15-24",527.2755,1096.81,208.1105,4.8804,10.14989,1.926925,64.3988,119.15205,28.65875,0.5949035,1.1006665,0.264758
"11","Abscess, impetigo, and other bacterial skin diseases","Male","25-44",526.6925,1135.0575,203.51,5.0606225,10.90991,1.9550625,289.506,554.451,124.68665,2.7939,5.349265,1.202533
"12","Abscess, impetigo, and other bacterial skin diseases","Male","45-64",686.99975,1460.6575,264.32175,7.082095,15.046175,2.72882,1017.92725,1995.1625,440.922,10.670185,20.927875,4.62203
"13","Abscess, impetigo, and other bacterial skin diseases","Male","65+",954.844,2010.745,369.927,10.56369,22.33895,4.094845,2054.093,3339.255,1220.839,22.1145,37.0099,12.536935
"14","Acne vulgaris","Female","00-14",21024.6,43602.6,8435.66,106.876,221.649,42.8818,0,0,0,0,0,0
"15","Acne vulgaris","Female","15-24",28739.3,59883.75,11323.465,279.983,583.3165,110.32145,0,0,0,0,0,0
"16","Acne vulgaris","Female","25-44",6128.2575,12442.4825,2455.9405,60.538975,122.906275,24.263155,0,0,0,0,0,0
"17","Acne vulgaris","Female","45-64",622.63775,1277.77375,249.551275,5.7699075,11.840665,2.3089215,0,0,0,0,0,0
